diseases,sintomas,texto
systemic lupus erythematosis (sle),"['leg swelling', 'bones are painful', 'knee pain', 'sharp chest pain', 'ache all over', 'hand or finger stiffness or tightness']","
    Systemic lupus erythematosis (sle) is a condition that may present symptoms such as leg swelling, bones are painful, knee pain, sharp chest pain, ache all over, hand or finger stiffness or tightness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
teething syndrome,"['nasal congestion', 'decreased appetite', 'cough', 'ear pain', 'symptoms of infants', 'temper problems', 'redness in ear', 'diarrhea', 'fever']","
    Teething syndrome is a condition that may present symptoms such as nasal congestion, decreased appetite, cough, ear pain, symptoms of infants, temper problems, redness in ear, diarrhea, fever.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
temporary or benign blood in urine,"['regurgitation', 'involuntary urination', 'sharp abdominal pain', 'painful urination', 'suprapubic pain', 'blood in urine', 'frequent urination', 'regurgitation.1', 'back pain', 'lower abdominal pain', 'symptoms of bladder', 'retention of urine']","
    Temporary or benign blood in urine is a condition that may present symptoms such as regurgitation, involuntary urination, sharp abdominal pain, painful urination, suprapubic pain, blood in urine, frequent urination, regurgitation.1, back pain, lower abdominal pain, symptoms of bladder, retention of urine.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
temporomandibular joint disorder,"['nasal congestion', 'neck pain', 'ear pain', 'facial pain', 'sore throat', 'diminished hearing', 'pain in eye', 'headache']","
    Temporomandibular joint disorder is a condition that may present symptoms such as nasal congestion, neck pain, ear pain, facial pain, sore throat, diminished hearing, pain in eye, headache.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
tendinitis,"['hand or finger pain', 'knee pain', 'hand or finger swelling', 'foot or toe pain', 'arm pain', 'ankle pain', 'wrist pain', 'leg pain', 'hip pain', 'shoulder pain']","
    Tendinitis is a condition that may present symptoms such as hand or finger pain, knee pain, hand or finger swelling, foot or toe pain, arm pain, ankle pain, wrist pain, leg pain, hip pain, shoulder pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
tension headache,"['neck pain', 'anxiety and nervousness', 'nausea', 'dizziness', 'back cramps or spasms', 'headache', 'chills', 'neck stiffness or tightness']","
    Tension headache is a condition that may present symptoms such as neck pain, anxiety and nervousness, nausea, dizziness, back cramps or spasms, headache, chills, neck stiffness or tightness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
testicular cancer,"['diminished hearing', 'mass in scrotum', 'anxiety and nervousness']","
    Testicular cancer is a condition that may present symptoms such as diminished hearing, mass in scrotum, anxiety and nervousness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
testicular disorder,"['fatigue', 'loss of sex drive', 'symptoms of the scrotum and testes', 'hoarse voice', 'impotence']","
    Testicular disorder is a condition that may present symptoms such as fatigue, loss of sex drive, symptoms of the scrotum and testes, hoarse voice, impotence.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
testicular torsion,"['symptoms of the scrotum and testes', 'sharp abdominal pain', 'emotional symptoms', 'pain in testicles', 'swelling of scrotum', 'back pain']","
    Testicular torsion is a condition that may present symptoms such as symptoms of the scrotum and testes, sharp abdominal pain, emotional symptoms, pain in testicles, swelling of scrotum, back pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
thalassemia,"['insomnia', 'elbow weakness']","
    Thalassemia is a condition that may present symptoms such as insomnia, elbow weakness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
thoracic aortic aneurysm,"['fatigue', 'sharp abdominal pain', 'sharp chest pain', 'shortness of breath', 'jaundice', 'chest tightness', 'dizziness']","
    Thoracic aortic aneurysm is a condition that may present symptoms such as fatigue, sharp abdominal pain, sharp chest pain, shortness of breath, jaundice, chest tightness, dizziness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
thoracic outlet syndrome,"['hand or finger pain', 'decreased appetite', 'sharp chest pain', 'arm pain', 'loss of sensation', 'shoulder pain']","
    Thoracic outlet syndrome is a condition that may present symptoms such as hand or finger pain, decreased appetite, sharp chest pain, arm pain, loss of sensation, shoulder pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
threatened pregnancy,"['sharp abdominal pain', 'pelvic pain', 'vaginal discharge', 'cramps and spasms', 'intermenstrual bleeding', 'blood clots during menstrual periods', 'uterine contractions', 'spotting or bleeding during pregnancy', 'problems during pregnancy', 'back pain', 'lower abdominal pain']","
    Threatened pregnancy is a condition that may present symptoms such as sharp abdominal pain, pelvic pain, vaginal discharge, cramps and spasms, intermenstrual bleeding, blood clots during menstrual periods, uterine contractions, spotting or bleeding during pregnancy, problems during pregnancy, back pain, lower abdominal pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
thrombocytopenia,"['fatigue', 'sharp chest pain', 'blood in urine', 'blood in stool', 'nosebleed', 'irregular appearing scalp', 'bleeding gums']","
    Thrombocytopenia is a condition that may present symptoms such as fatigue, sharp chest pain, blood in urine, blood in stool, nosebleed, irregular appearing scalp, bleeding gums.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
thrombophlebitis,"['leg swelling', 'foot or toe pain', 'arm pain', 'ache all over', 'leg pain', 'arm swelling', 'lymphedema', 'skin on leg or foot looks infected', 'skin swelling']","
    Thrombophlebitis is a condition that may present symptoms such as leg swelling, foot or toe pain, arm pain, ache all over, leg pain, arm swelling, lymphedema, skin on leg or foot looks infected, skin swelling.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
thyroid cancer,"['neck mass', 'difficulty in swallowing', 'fatigue', 'swollen lymph nodes']","
    Thyroid cancer is a condition that may present symptoms such as neck mass, difficulty in swallowing, fatigue, swollen lymph nodes.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
thyroid disease,"['neck mass', 'throat feels tight', 'lump in throat', 'difficulty in swallowing']","
    Thyroid disease is a condition that may present symptoms such as neck mass, throat feels tight, lump in throat, difficulty in swallowing.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
thyroid nodule,"['neck mass', 'fatigue', 'throat feels tight', 'back weakness', 'diminished hearing', 'hoarse voice', 'difficulty in swallowing']","
    Thyroid nodule is a condition that may present symptoms such as neck mass, fatigue, throat feels tight, back weakness, diminished hearing, hoarse voice, difficulty in swallowing.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
tic (movement) disorder,"['abnormal movement of eyelid', 'abnormal involuntary movements', 'problems with movement', 'depressive or psychotic symptoms', 'headache', 'symptoms of eye']","
    Tic (movement) disorder is a condition that may present symptoms such as abnormal movement of eyelid, abnormal involuntary movements, problems with movement, depressive or psychotic symptoms, headache, symptoms of eye.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
tietze syndrome,"['cough', 'sharp chest pain', 'shortness of breath', 'loss of sensation', 'nausea', 'rib pain', 'difficulty breathing', 'chest tightness']","
    Tietze syndrome is a condition that may present symptoms such as cough, sharp chest pain, shortness of breath, loss of sensation, nausea, rib pain, difficulty breathing, chest tightness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
tinnitus of unknown cause,"['itchy ear(s)', 'ear pain', 'hoarse voice', 'diminished hearing', 'headache', 'ringing in ear', 'dizziness', 'plugged feeling in ear']","
    Tinnitus of unknown cause is a condition that may present symptoms such as itchy ear(s), ear pain, hoarse voice, diminished hearing, headache, ringing in ear, dizziness, plugged feeling in ear.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
tonsillar hypertrophy,"['nasal congestion', 'cough', 'apnea', 'abnormal breathing sounds', 'sore throat', 'redness in ear', 'difficulty in swallowing', 'fever']","
    Tonsillar hypertrophy is a condition that may present symptoms such as nasal congestion, cough, apnea, abnormal breathing sounds, sore throat, redness in ear, difficulty in swallowing, fever.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
tonsillitis,"['nasal congestion', 'throat feels tight', 'throat redness', 'abnormal breathing sounds', 'sore throat', 'redness in ear', 'diminished hearing', 'lump in throat', 'swollen or red tonsils']","
    Tonsillitis is a condition that may present symptoms such as nasal congestion, throat feels tight, throat redness, abnormal breathing sounds, sore throat, redness in ear, diminished hearing, lump in throat, swollen or red tonsils.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
tooth abscess,"['neck swelling', 'gum pain', 'pain in gums', 'facial pain', 'toothache', 'peripheral edema', 'mouth pain', 'jaw swelling', 'skin swelling', 'lip swelling']","
    Tooth abscess is a condition that may present symptoms such as neck swelling, gum pain, pain in gums, facial pain, toothache, peripheral edema, mouth pain, jaw swelling, skin swelling, lip swelling.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
tooth disorder,"['mouth ulcer', 'ear pain', 'gum pain', 'pain in gums', 'toothache', 'facial pain', 'peripheral edema', 'headache', 'jaw swelling', 'bleeding gums']","
    Tooth disorder is a condition that may present symptoms such as mouth ulcer, ear pain, gum pain, pain in gums, toothache, facial pain, peripheral edema, headache, jaw swelling, bleeding gums.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
torticollis,"['neck pain', 'throat swelling', 'arm pain', 'abnormal involuntary movements', 'neck cramps or spasms', 'headache', 'neck stiffness or tightness', 'shoulder pain']","
    Torticollis is a condition that may present symptoms such as neck pain, throat swelling, arm pain, abnormal involuntary movements, neck cramps or spasms, headache, neck stiffness or tightness, shoulder pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
tourette syndrome,"['abnormal involuntary movements', 'depressive or psychotic symptoms', 'drug abuse', 'headache', 'allergic reaction']","
    Tourette syndrome is a condition that may present symptoms such as abnormal involuntary movements, depressive or psychotic symptoms, drug abuse, headache, allergic reaction.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
toxic multinodular goiter,"['fatigue', 'involuntary urination', 'double vision', 'abnormal involuntary movements', 'irregular heartbeat']","
    Toxic multinodular goiter is a condition that may present symptoms such as fatigue, involuntary urination, double vision, abnormal involuntary movements, irregular heartbeat.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
toxoplasmosis,"['emotional symptoms', 'diminished vision']","
    Toxoplasmosis is a condition that may present symptoms such as emotional symptoms, diminished vision.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
tracheitis,"['nasal congestion', 'sneezing', 'cough', 'shortness of breath', 'sore throat', 'hoarse voice', 'fever']","
    Tracheitis is a condition that may present symptoms such as nasal congestion, sneezing, cough, shortness of breath, sore throat, hoarse voice, fever.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
transient ischemic attack,"['difficulty speaking', 'loss of sensation', 'symptoms of the face', 'paresthesia', 'depressive or psychotic symptoms', 'headache', 'weakness', 'disturbance of memory', 'focal weakness', 'dizziness']","
    Transient ischemic attack is a condition that may present symptoms such as difficulty speaking, loss of sensation, symptoms of the face, paresthesia, depressive or psychotic symptoms, headache, weakness, disturbance of memory, focal weakness, dizziness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
trichiasis,"['eyelid lesion or rash', 'eye redness', 'diminished vision', 'foreign body sensation in eye', 'emotional symptoms']","
    Trichiasis is a condition that may present symptoms such as eyelid lesion or rash, eye redness, diminished vision, foreign body sensation in eye, emotional symptoms.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
trichinosis,"['knee lump or mass', 'nasal congestion']","
    Trichinosis is a condition that may present symptoms such as knee lump or mass, nasal congestion.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
trichomonas infection,"['sharp abdominal pain', 'vaginal discharge', 'vaginal itching', 'pain during pregnancy', 'unpredictable menstruation', 'nausea', 'vomiting', 'lower abdominal pain']","
    Trichomonas infection is a condition that may present symptoms such as sharp abdominal pain, vaginal discharge, vaginal itching, pain during pregnancy, unpredictable menstruation, nausea, vomiting, lower abdominal pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
tricuspid valve disease,"['emotional symptoms', 'anxiety and nervousness']","
    Tricuspid valve disease is a condition that may present symptoms such as emotional symptoms, anxiety and nervousness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
trigeminal neuralgia,"['abnormal involuntary movements', 'symptoms of the face', 'facial pain', 'toothache', 'pain in eye', 'headache', 'dizziness']","
    Trigeminal neuralgia is a condition that may present symptoms such as abnormal involuntary movements, symptoms of the face, facial pain, toothache, pain in eye, headache, dizziness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
trigger finger (finger disorder),"['hand or finger pain', 'bones are painful', 'hand or finger swelling', 'hand or finger cramps or spasms', 'wrist pain', 'hand or finger stiffness or tightness']","
    Trigger finger (finger disorder) is a condition that may present symptoms such as hand or finger pain, bones are painful, hand or finger swelling, hand or finger cramps or spasms, wrist pain, hand or finger stiffness or tightness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
tuberculosis,"['vaginal itching', 'shortness of breath', 'congestion in chest', 'cough']","
    Tuberculosis is a condition that may present symptoms such as vaginal itching, shortness of breath, congestion in chest, cough.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
tuberous sclerosis,"['depressive or psychotic symptoms', 'seizures', 'elbow weakness']","
    Tuberous sclerosis is a condition that may present symptoms such as depressive or psychotic symptoms, seizures, elbow weakness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
turner syndrome,"['depression', 'emotional symptoms']","
    Turner syndrome is a condition that may present symptoms such as depression, emotional symptoms.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
typhoid fever,"['wrist pain', 'fever']","
    Typhoid fever is a condition that may present symptoms such as wrist pain, fever.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
ulcerative colitis,"['sharp abdominal pain', 'nausea', 'rectal bleeding', 'blood in stool', 'burning abdominal pain', 'swollen lymph nodes', 'diarrhea', 'vomiting', 'lower abdominal pain']","
    Ulcerative colitis is a condition that may present symptoms such as sharp abdominal pain, nausea, rectal bleeding, blood in stool, burning abdominal pain, swollen lymph nodes, diarrhea, vomiting, lower abdominal pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
urethral disorder,"['sharp abdominal pain', 'involuntary urination', 'painful urination', 'suprapubic pain', 'vomiting', 'abusing alcohol', 'side pain', 'retention of urine']","
    Urethral disorder is a condition that may present symptoms such as sharp abdominal pain, involuntary urination, painful urination, suprapubic pain, vomiting, abusing alcohol, side pain, retention of urine.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
urethral stricture,"['symptoms of the scrotum and testes', 'involuntary urination', 'symptoms of prostate', 'painful urination', 'suprapubic pain', 'blood in urine', 'symptoms of bladder', 'retention of urine']","
    Urethral stricture is a condition that may present symptoms such as symptoms of the scrotum and testes, involuntary urination, symptoms of prostate, painful urination, suprapubic pain, blood in urine, symptoms of bladder, retention of urine.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
urethral valves,"['sharp abdominal pain', 'lower abdominal pain', 'suprapubic pain', 'elbow weakness', 'side pain']","
    Urethral valves is a condition that may present symptoms such as sharp abdominal pain, lower abdominal pain, suprapubic pain, elbow weakness, side pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
urethritis,"['sharp abdominal pain', 'vaginal itching', 'painful urination', 'suprapubic pain', 'blood in urine', 'penile discharge', 'frequent urination', 'penis pain', 'retention of urine']","
    Urethritis is a condition that may present symptoms such as sharp abdominal pain, vaginal itching, painful urination, suprapubic pain, blood in urine, penile discharge, frequent urination, penis pain, retention of urine.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
urge incontinence,"['involuntary urination', 'excessive urination at night', 'vaginal itching', 'constipation', 'painful urination', 'blood in urine', 'frequent urination', 'symptoms of bladder', 'retention of urine']","
    Urge incontinence is a condition that may present symptoms such as involuntary urination, excessive urination at night, vaginal itching, constipation, painful urination, blood in urine, frequent urination, symptoms of bladder, retention of urine.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
urinary tract infection,"['painful urination', 'back pain', 'side pain', 'nausea', 'suprapubic pain', 'blood in urine', 'lower abdominal pain', 'vomiting', 'frequent urination', 'fever', 'retention of urine']","
    Urinary tract infection is a condition that may present symptoms such as painful urination, back pain, side pain, nausea, suprapubic pain, blood in urine, lower abdominal pain, vomiting, frequent urination, fever, retention of urine.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
urinary tract obstruction,"['sharp abdominal pain', 'symptoms of prostate', 'excessive urination at night', 'painful urination', 'side pain', 'suprapubic pain', 'blood in urine', 'back pain', 'frequent urination', 'retention of urine']","
    Urinary tract obstruction is a condition that may present symptoms such as sharp abdominal pain, symptoms of prostate, excessive urination at night, painful urination, side pain, suprapubic pain, blood in urine, back pain, frequent urination, retention of urine.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
uterine atony,"['sharp abdominal pain', 'intermenstrual bleeding', 'pain during pregnancy', 'spotting or bleeding during pregnancy', 'problems during pregnancy', 'back cramps or spasms', 'blood in urine', 'uterine contractions', 'lower abdominal pain']","
    Uterine atony is a condition that may present symptoms such as sharp abdominal pain, intermenstrual bleeding, pain during pregnancy, spotting or bleeding during pregnancy, problems during pregnancy, back cramps or spasms, blood in urine, uterine contractions, lower abdominal pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
uterine cancer,"['groin mass', 'pelvic pain', 'vaginal bleeding after menopause']","
    Uterine cancer is a condition that may present symptoms such as groin mass, pelvic pain, vaginal bleeding after menopause.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
uterine fibroids,"['sharp abdominal pain', 'involuntary urination', 'heavy menstrual flow', 'pelvic pain', 'cramps and spasms', 'intermenstrual bleeding', 'unpredictable menstruation', 'painful menstruation', 'lower abdominal pain']","
    Uterine fibroids is a condition that may present symptoms such as sharp abdominal pain, involuntary urination, heavy menstrual flow, pelvic pain, cramps and spasms, intermenstrual bleeding, unpredictable menstruation, painful menstruation, lower abdominal pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
uveitis,"['elbow weakness', 'diminished vision', 'symptoms of eye']","
    Uveitis is a condition that may present symptoms such as elbow weakness, diminished vision, symptoms of eye.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
vacterl syndrome,"['suprapubic pain', 'emotional symptoms']","
    Vacterl syndrome is a condition that may present symptoms such as suprapubic pain, emotional symptoms.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
vaginal cyst,"['sharp abdominal pain', 'pelvic pain', 'vaginal pain', 'vaginal discharge', 'intermenstrual bleeding', 'heavy menstrual flow', 'blood clots during menstrual periods', 'cramps and spasms', 'pain during pregnancy', 'spotting or bleeding during pregnancy', 'problems during pregnancy', 'lower abdominal pain']","
    Vaginal cyst is a condition that may present symptoms such as sharp abdominal pain, pelvic pain, vaginal pain, vaginal discharge, intermenstrual bleeding, heavy menstrual flow, blood clots during menstrual periods, cramps and spasms, pain during pregnancy, spotting or bleeding during pregnancy, problems during pregnancy, lower abdominal pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
vaginal yeast infection,"['sharp abdominal pain', 'vaginal pain', 'itching of skin', 'vaginal discharge', 'vaginal itching', 'vulvar irritation', 'painful urination', 'suprapubic pain', 'vaginal redness', 'lower abdominal pain']","
    Vaginal yeast infection is a condition that may present symptoms such as sharp abdominal pain, vaginal pain, itching of skin, vaginal discharge, vaginal itching, vulvar irritation, painful urination, suprapubic pain, vaginal redness, lower abdominal pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
vaginismus,"['vaginal pain', 'sharp abdominal pain', 'pelvic pain', 'suprapubic pain', 'pain during intercourse', 'lower abdominal pain']","
    Vaginismus is a condition that may present symptoms such as vaginal pain, sharp abdominal pain, pelvic pain, suprapubic pain, pain during intercourse, lower abdominal pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
vaginitis,"['vaginal pain', 'pelvic pain', 'sharp abdominal pain', 'vaginal discharge', 'vaginal itching', 'painful urination', 'pain during pregnancy', 'suprapubic pain', 'vaginal redness', 'pain during intercourse', 'lower abdominal pain']","
    Vaginitis is a condition that may present symptoms such as vaginal pain, pelvic pain, sharp abdominal pain, vaginal discharge, vaginal itching, painful urination, pain during pregnancy, suprapubic pain, vaginal redness, pain during intercourse, lower abdominal pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
valley fever,"['hand or finger pain', 'shortness of breath', 'shoulder swelling', 'fever']","
    Valley fever is a condition that may present symptoms such as hand or finger pain, shortness of breath, shoulder swelling, fever.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
varicocele of the testicles,"['symptoms of the scrotum and testes', 'involuntary urination', 'groin pain', 'infertility', 'skin growth', 'pain in testicles', 'pain of the anus', 'swelling of scrotum', 'mass in scrotum', 'lower abdominal pain']","
    Varicocele of the testicles is a condition that may present symptoms such as symptoms of the scrotum and testes, involuntary urination, groin pain, infertility, skin growth, pain in testicles, pain of the anus, swelling of scrotum, mass in scrotum, lower abdominal pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
varicose veins,"['leg swelling', 'leg lump or mass', 'leg cramps or spasms', 'ache all over', 'skin lesion', 'leg pain', 'lymphedema', 'peripheral edema']","
    Varicose veins is a condition that may present symptoms such as leg swelling, leg lump or mass, leg cramps or spasms, ache all over, skin lesion, leg pain, lymphedema, peripheral edema.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
vasculitis,"['foot or toe swelling', 'skin lesion', 'lymphedema', 'leg pain', 'headache', 'leg stiffness or tightness', 'dizziness', 'skin rash']","
    Vasculitis is a condition that may present symptoms such as foot or toe swelling, skin lesion, lymphedema, leg pain, headache, leg stiffness or tightness, dizziness, skin rash.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
venous insufficiency,"['leg cramps or spasms', 'abnormal appearing skin', 'skin lesion', 'leg pain', 'lymphedema', 'fluid retention', 'skin on leg or foot looks infected', 'burning chest pain']","
    Venous insufficiency is a condition that may present symptoms such as leg cramps or spasms, abnormal appearing skin, skin lesion, leg pain, lymphedema, fluid retention, skin on leg or foot looks infected, burning chest pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
vertebrobasilar insufficiency,"['dizziness', 'leg pain', 'back pain', 'sharp chest pain']","
    Vertebrobasilar insufficiency is a condition that may present symptoms such as dizziness, leg pain, back pain, sharp chest pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
vesicoureteral reflux,"['suprapubic pain', 'blood in urine', 'involuntary urination', 'fever']","
    Vesicoureteral reflux is a condition that may present symptoms such as suprapubic pain, blood in urine, involuntary urination, fever.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
viral exanthem,"['nasal congestion', 'decreased appetite', 'pulling at ears', 'fever', 'cough', 'itching of skin', 'abnormal appearing skin', 'vomiting', 'skin swelling', 'skin rash']","
    Viral exanthem is a condition that may present symptoms such as nasal congestion, decreased appetite, pulling at ears, fever, cough, itching of skin, abnormal appearing skin, vomiting, skin swelling, skin rash.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
viral hepatitis,"['sharp abdominal pain', 'stomach bloating', 'melena', 'hand or finger stiffness or tightness', 'abusing alcohol']","
    Viral hepatitis is a condition that may present symptoms such as sharp abdominal pain, stomach bloating, melena, hand or finger stiffness or tightness, abusing alcohol.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
viral warts,"['acne or pimples', 'skin moles', 'skin growth', 'abnormal appearing skin', 'skin lesion', 'warts', 'bumps on penis', 'skin swelling', 'lip swelling']","
    Viral warts is a condition that may present symptoms such as acne or pimples, skin moles, skin growth, abnormal appearing skin, skin lesion, warts, bumps on penis, skin swelling, lip swelling.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
vitamin a deficiency,"['hand or finger pain', 'knee lump or mass']","
    Vitamin a deficiency is a condition that may present symptoms such as hand or finger pain, knee lump or mass.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
vitamin b12 deficiency,"['fatigue', 'problems with movement', 'knee stiffness or tightness', 'hot flashes', 'disturbance of memory']","
    Vitamin b12 deficiency is a condition that may present symptoms such as fatigue, problems with movement, knee stiffness or tightness, hot flashes, disturbance of memory.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
vitamin d deficiency,"['fatigue', 'hot flashes', 'arm stiffness or tightness']","
    Vitamin d deficiency is a condition that may present symptoms such as fatigue, hot flashes, arm stiffness or tightness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
